fichier,categorie,sous_categorie,chemin_origine
02_Guide to Harry Potter.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/02_Guide to Harry Potter.jpeg
03_The Americans.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/03_The Americans.jpeg
04_American Politics.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/04_American Politics.jpeg
05_Carle.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/05_Carle.jpeg
06_Harry Potter.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/06_Harry Potter.jpeg
08_.his..jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/08_.his..jpeg
10_Tigers.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/10_Tigers.jpeg
12_Meme-Core.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/12_Meme-Core.jpeg
13_Leftist Theory Starter.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/13_Leftist Theory Starter.jpeg
14_Baby's First Literature.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/14_Baby's First Literature.jpeg
15_.the_pol..jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/15_.the_pol..jpeg
17_Meme Poetry.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/17_Meme Poetry.jpeg
19_Modern Unique Fantasy.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/19_Modern Unique Fantasy.jpeg
27_Ass.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/27_Ass.jpeg
28_Doomer.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/28_Doomer.jpeg
29_Bloomer .lit..jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/29_Bloomer .lit..jpeg
30_Bloomerism.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/30_Bloomerism.jpeg
31_Doomer.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/31_Doomer.jpeg
33_Jordan Peterson.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/33_Jordan Peterson.jpeg
34_Twitter-core.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/34_Twitter-core.jpeg
40_Pseudcore.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/40_Pseudcore.jpeg
43_Indo-Europeans.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/43_Indo-Europeans.jpeg
49_Meme Analysis.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/49_Meme Analysis.jpeg
50_Bioshock Infinite.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/50_Bioshock Infinite.jpeg
51_K-On.jpeg,10_Meme Charts,,lit wiki 4/10_Meme Charts/51_K-On.jpeg
"_Overcoming ADHD, Internet, Porn and SM Addiction.jpeg",11_Other Boards,,"lit wiki 4/11_Other Boards/_Overcoming ADHD, Internet, Porn and SM Addiction.jpeg"
