fichier,categorie,layout_type,auteur,auteur_brut,patronyme,titre
01_2014.jpeg,2_General,grid,Wallace,Wallace,wallace,Infinite Jest
01_2014.jpeg,2_General,grid,Dostoevsky,Dostoevsky,dostoevsky,The Brothers Karamazov
01_2014.jpeg,2_General,grid,McCarthy,McCarthy,mccarthy,Blood Meridian
01_2014.jpeg,2_General,grid,Nabokov,Nabokov,nabokov,Lolita
01_2014.jpeg,2_General,grid,Melville,Mellville,melville,Moby Dick
01_2014.jpeg,2_General,grid,Pynchon,Pynchon,pynchon,Gravity's Rainbow
01_2014.jpeg,2_General,grid,Cervantes,Cervantes,cervantes,Don Quixote
01_2014.jpeg,2_General,grid,Kafka,Kafka,kafka,The Trial
01_2014.jpeg,2_General,grid,Céline,Céline,celine,Journey to the End
01_2014.jpeg,2_General,grid,Borges,Borges,borges,Ficciones
01_2014.jpeg,2_General,grid,Joyce,Joyce,joyce,Ulysses
01_2014.jpeg,2_General,grid,Dostoevsky,Dostoevsky,dostoevsky,Crime and Punishment
01_2014.jpeg,2_General,grid,Heller,Heller,heller,Catch-22
01_2014.jpeg,2_General,grid,Bolaño,Bolaño,bolano,2666
01_2014.jpeg,2_General,grid,Oscar Wilde,Wilde,wilde,The Picture of
01_2014.jpeg,2_General,grid,Salinger,Salinger,salinger,The Catcher in the Rye
01_2014.jpeg,2_General,grid,Faulkner,Faulkner,faulkner,The Sound and
01_2014.jpeg,2_General,grid,Orwell,Orwell,orwell,Nineteen Eighty-Four
01_2014.jpeg,2_General,grid,Fitzgerald,Fitzgerald,fitzgerald,The Great Gatsby
01_2014.jpeg,2_General,grid,Shakespeare,Shakespeare,shakespeare,Hamlet
01_2014.jpeg,2_General,grid,Calvino,Calvino,calvino,Invisible Cities
01_2014.jpeg,2_General,grid,García Márquez,García Márquez,marquez,One Hundred Years
01_2014.jpeg,2_General,grid,Vonnegut,Vonnegut,vonnegut,Slaughterhouse-Five
01_2014.jpeg,2_General,grid,Pynchon,Pynchon,pynchon,Mason & Dixon
01_2014.jpeg,2_General,grid,Dostoevsky,Dostoevsky,dostoevsky,Notes from Underground
01_2014.jpeg,2_General,grid,Hesse,Hesse,hesse,Siddhartha
01_2014.jpeg,2_General,grid,Tolstoy,Tolstoy,tolstoy,Anna Karenina
01_2014.jpeg,2_General,grid,Herbert,Herbert,herbert,Dune
01_2014.jpeg,2_General,grid,Pynchon,Pynchon,pynchon,V.
01_2014.jpeg,2_General,grid,Homer,Homer,homer,The Odyssey
01_2014.jpeg,2_General,grid,Dante,"Alighieri, Dante",dante,The Divine Comedy
01_2014.jpeg,2_General,grid,Woolf,Woolf,woolf,The Waves
01_2014.jpeg,2_General,grid,Bulgakov,Bulgakov,bulgakov,The Master and Margarita
01_2014.jpeg,2_General,grid,Camus,Camus,camus,The Plague
01_2014.jpeg,2_General,grid,Tolstoy,Tolstoy,tolstoy,War and Peace
01_2014.jpeg,2_General,grid,DeLillo,DeLillo,delillo,White Noise
01_2014.jpeg,2_General,grid,"Williams, J","Williams, J",j,Stoner
01_2014.jpeg,2_General,grid,"Bronte, E","Bronte, E",e,Wuthering Heights
01_2014.jpeg,2_General,grid,Joyce,Joyce,joyce,Dubliners
01_2014.jpeg,2_General,grid,Pessoa,Pessoa,pessoa,The Book of Disquiet
01_2014.jpeg,2_General,grid,Tolkien,Tolkien,tolkien,The Silmarillion
01_2014.jpeg,2_General,grid,Conrad,Conrad,conrad,Heart of Darkness
01_2014.jpeg,2_General,grid,Tolkien,Tolkien,tolkien,The Hobbit
01_2014.jpeg,2_General,grid,Proust,Proust,proust,In Search of Lost Time
01_2014.jpeg,2_General,grid,Hemingway,Hemmmingway,hemingway,A Farewell to Arms
01_2014.jpeg,2_General,grid,Pynchon,Pynchon,pynchon,The Crying of Lot 49
01_2014.jpeg,2_General,grid,Faulkner,Faulkner,faulkner,As I Lay Dying
01_2014.jpeg,2_General,grid,Kafka,Kafka,kafka,The Metamorphosis
01_2014.jpeg,2_General,grid,Burroughs,Burroughs,burroughs,The Naked Lunch
01_2014.jpeg,2_General,grid,Ellis,Ellis,ellis,American Psycho
01_2014.jpeg,2_General,grid,Hemingway,Hemmmingway,hemingway,The Sun Also Rises
01_2014.jpeg,2_General,grid,Whitman,Whitman,whitman,Leaves of Grass
01_2014.jpeg,2_General,grid,Rowling,Rowling,rowling,Harry Potter series
01_2014.jpeg,2_General,grid,Anthony Burgess,Burgess,burgess,A Clockwork Orange
01_2014.jpeg,2_General,grid,Steinbeck,Steinbeck,steinbeck,The Grapes of Wrath
01_2014.jpeg,2_General,grid,Jack Kerouac,Kerouac,kerouac,On the Road
01_2014.jpeg,2_General,grid,Mishima,Mishima,mishima,The Temple of the
