fichier,categorie,sous_categorie,layout_type,has_arrows,regime,largeur,hauteur,nb_blocs,nb_oeuvres,nb_tiers,progression,prerequis,niveaux_de_difficulte,embranchements,recompenses,injonction,ton,point_entree,nb_ordinal_labels,justification,score_marqueurs,m_niveaux_nommes,m_hierarchie_valeur,m_point_entree,m_difficulte,m_prerequis,m_optionnel,m_recompense,m_injonction,m_progression
01_2014.jpeg,2_General,03_Top 100,grid,False,grille,1820,4348,7,98,7,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
01_2014–2020.jpeg,2_General,01_Top 100 Aggregate,grid,False,grille,1100,3312,1,204,1,,,,,,,,,0,,2,0,0,0,0,0,0,0,1,1
01_2022.jpeg,2_General,02_Almost Top 100,grid,False,grille,2550,5250,6,108,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
01_Ancient Western Philosophy.jpeg,3_Philosophy,03_Guide,grid,False,grille,1858,1354,1,4,1,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
01_Anthropology of Myth and Religion.jpeg,6_Religion,General,flowchart,True,blocs,780,1200,15,24,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
01_Beginner 1.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,991,2975,68,133,5,,,,,,,,,0,,11,7,2,2,0,0,0,0,0,0
01_Chinese.jpeg,4_Countries.Nationalities,Original order,,,blocs,3393,3598,95,138,8,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
01_Enter The Esoterica.jpeg,6_Religion,Occult,,,blocs,400,1400,20,33,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
01_Green Pill (Spirituality.Stoner.Eco).jpeg,8_Pills,,,,blocs,900,4100,122,250,16,,,,,,,,,0,,5,0,0,2,0,0,0,1,1,1
01_Leftist & Progressive.jpeg,7_Ideologies,General,,,blocs,1200,1252,64,88,1,,,,,,,,,0,,3,0,0,0,0,0,0,1,0,2
01_Novellas.jpeg,2_General,06_Genres,,,blocs,1988,2085,94,151,10,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
01_Overview.jpg,3_Philosophy,,list,False,blocs,2048,1437,18,185,14,,,,,,,,,0,,2,0,0,0,0,1,1,0,0,0
01_Sci-Fi 1.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,2100,5000,181,345,17,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
01_Zizek 1.jpeg,7_Ideologies,Ideologues,,,blocs,531,1734,26,95,1,,,,,,,,,0,,5,0,0,1,2,0,0,0,0,2
02_2014–2017.jpeg,2_General,01_Top 100 Aggregate,,,blocs,7252,4348,604,1601,54,,,,,,,,,0,,4,0,0,0,0,0,0,0,0,4
02_2015.jpeg,2_General,03_Top 100,,,grille,1820,4348,5,120,5,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
02_Beginner 2.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,2090,4926,132,277,17,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
02_Bronze Age.jpeg,1_Beginnings,,,,blocs,3000,3868,77,152,10,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
02_Christian.Catholic and Medieval Philosophy.jpeg,3_Philosophy,03_Guide,sectioned_grid,False,blocs,1858,1354,65,124,5,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
02_Dante.jpeg,2_General,08_Translations,,,blocs,1400,5316,129,597,6,,,,,,,,,0,,32,0,1,2,0,0,0,1,27,1
02_Esoteric Islam.jpeg,6_Religion,Occult,sectioned_grid,False,blocs,1620,2260,96,226,5,,,,,,,,,0,,3,0,0,0,0,2,0,0,0,1
02_Foundational Mathematics (Real).jpeg,9_Science,,,,blocs,3840,6000,61,88,4,,,,,,,,,0,,2,0,0,0,0,1,0,0,0,1
02_Guide to Harry Potter.jpeg,10_Meme Charts,,sectioned_grid,True,blocs,2685,4485,58,108,2,,,,,,,,,0,,3,0,0,0,0,0,0,1,2,0
02_Horror.jpeg,5_Speculative Fiction,3_Horror,,,blocs,1378,1438,64,104,8,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
02_Intersectional Feminism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1200,1200,25,56,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
02_Novellas 2.jpeg,2_General,06_Genres,,,blocs,2984,2347,103,161,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
02_Reactionary.jpeg,7_Ideologies,General,sectioned_grid,False,blocs,1500,984,19,71,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
02_Sci-Fi 2.jpeg,5_Speculative Fiction,1_Science Fiction,sectioned_grid,False,blocs,1320,3000,180,287,16,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0
02_Starter Kit 2.jpeg,2_General,04_.lit.core,,,blocs,483,960,25,31,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
03_.pol.ack.jpeg,7_Ideologies,General,,,blocs,4648,3440,129,229,13,,,,,,,,,0,,14,4,1,0,2,0,0,3,4,0
03_2015 Authors.jpeg,2_General,03_Top 100,,,grille,1820,4348,2,100,2,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
03_Bane Pill (Bane from Batman).jpeg,8_Pills,,,,blocs,1000,944,9,19,2,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
03_Beowulf.jpeg,2_General,08_Translations,sectioned_grid,False,blocs,1600,2500,23,227,1,,,,,,,,,0,,5,0,0,0,0,0,0,0,3,2
03_Fiction.jpeg,5_Speculative Fiction,3_Horror,,,blocs,1275,4654,146,328,18,,,,,,,,,0,,2,0,0,0,0,0,0,0,0,2
03_Foundational Mathematics.jpeg,9_Science,,,,blocs,5000,8000,74,124,8,,,,,,,,,0,,3,0,0,0,2,1,0,0,0,0
03_Greeks 1.jpeg,1_Beginnings,,,,blocs,3672,3024,33,117,1,,,,,,,,,0,,8,0,0,3,0,2,1,0,1,1
03_Modern Philosophy.jpeg,3_Philosophy,03_Guide,,,blocs,1858,1354,79,116,3,,,,,,,,,0,,2,0,0,0,0,0,0,1,0,1
03_Non-Tumblr Feminism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1090,1389,26,73,2,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
03_Novellas 3.jpeg,2_General,06_Genres,,,blocs,3000,3312,180,256,19,,,,,,,,,0,,2,1,0,0,0,0,0,0,0,1
03_Qurans.jpeg,6_Religion,General,,,blocs,1500,1000,12,20,1,,,,,,,,,0,,4,0,0,0,2,0,0,0,2,0
03_Starter Kit 3.jpeg,2_General,04_.lit.core,,,blocs,747,1417,41,70,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
03_The Americans.jpeg,10_Meme Charts,,,,blocs,3672,3024,35,147,6,,,,,,,,,0,,6,0,0,2,2,0,1,0,1,0
03_Western Occultism.jpeg,6_Religion,Occult,,,grille,780,1200,3,30,2,,,,,,,,,0,,7,0,0,1,0,0,2,1,0,3
03_Zizek 3.jpeg,7_Ideologies,Ideologues,sectioned_grid,True,blocs,2800,2000,38,82,7,,,,,,,,,0,,3,0,0,1,0,0,0,0,2,0
04_2016.jpeg,2_General,03_Top 100,sectioned_grid,False,grille,1820,4352,4,100,3,,,,,,,,,0,,3,0,0,0,0,0,0,0,0,3
04_American Politics.jpeg,10_Meme Charts,,,,blocs,883,843,10,20,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
04_Dostoyevsky.jpeg,2_General,08_Translations,,,blocs,3128,2180,19,221,4,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
04_Esoteric Techno-Facism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,2000,3205,70,143,9,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
04_Evola 1.jpeg,7_Ideologies,Ideologues,,,blocs,994,4724,30,144,0,,,,,,,,,0,,35,0,0,0,4,7,5,1,5,13
04_Gothic.Horror Flowchart.jpeg,5_Speculative Fiction,3_Horror,,,blocs,2000,2000,115,140,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
04_Greeks 2.jpeg,1_Beginnings,,,,blocs,3240,3600,52,94,5,,,,,,,,,0,,4,0,0,3,0,0,0,0,1,0
04_NPR Top 100 Sci-Fi.jpeg,5_Speculative Fiction,1_Science Fiction,sectioned_grid,True,blocs,3800,2300,134,183,27,,,,,,,,,0,,3,0,0,0,0,0,0,0,3,0
04_Political Philosophy.jpeg,3_Philosophy,,,,blocs,4616,9336,175,295,14,,,,,,,,,0,,5,0,0,0,0,0,0,5,0,0
04_Sacred Texts.jpeg,6_Religion,General,,,blocs,2000,2820,95,215,29,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
04_Selected Fantasy.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,1440,2700,34,72,6,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
04_The Scientific Revolution.jpeg,3_Philosophy,03_Guide,,,blocs,1858,1354,59,88,4,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
04_Various Pills Chart.jpeg,8_Pills,,,,blocs,1600,759,37,40,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
05_2017.jpeg,2_General,03_Top 100,,,grille,1820,4348,2,98,2,,,,,,,,,0,,1,1,0,0,0,0,0,0,0,0
05_Buddhism.jpeg,6_Religion,General,,,blocs,2712,5224,82,235,8,,,,,,,,,0,,10,0,0,1,0,2,2,1,4,0
05_Carle.jpeg,10_Meme Charts,,flowchart,True,blocs,2203,1814,20,58,2,,,,,,,,,0,,12,0,0,2,2,2,1,0,5,0
05_Evola 2.jpeg,7_Ideologies,Ideologues,,,blocs,5000,3827,55,132,3,,,,,,,,,0,,5,0,0,1,0,0,1,0,2,1
05_German Idealism.jpeg,3_Philosophy,03_Guide,,,blocs,1858,763,32,51,2,,,,,,,,,0,,2,0,0,0,0,1,0,0,0,1
05_Greek 3.jpeg,1_Beginnings,,sectioned_grid,False,blocs,2196,3339,76,143,5,,,,,,,,,0,,14,0,0,3,1,1,0,0,2,7
05_Green Nationalism.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1500,2247,31,72,4,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
05_Guide.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,2000,3000,69,179,13,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
05_Horror Authors.jpeg,5_Speculative Fiction,3_Horror,,,grille,1640,1710,1,56,0,,,,,,,,,0,,3,0,0,0,0,0,0,0,1,2
05_Leninism.jpeg,7_Ideologies,General,,,blocs,1844,2348,81,117,2,,,,,,,,,0,,2,0,0,0,0,2,0,0,0,0
05_Sci-Fi Guide.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,2001,3881,188,546,28,,,,,,,,,0,,2,0,0,0,0,1,0,0,1,0
05_Starter Kit 5.jpeg,2_General,04_.lit.core,,,blocs,728,2480,40,74,6,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
06_2018.jpeg,2_General,03_Top 100,,,grille,1500,3242,2,98,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
06_Anarchism.jpeg,7_Ideologies,General,,,blocs,640,1280,2,72,1,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
06_Gothic.jpeg,5_Speculative Fiction,3_Horror,,,blocs,833,3980,72,99,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
06_Great Poems.jpeg,2_General,06_Genres,,,grille,3250,4200,1,103,1,,,,,,,,,0,,1,0,0,0,0,0,0,0,1,0
06_Harry Potter.jpeg,10_Meme Charts,,,,blocs,1280,4000,58,112,8,,,,,,,,,0,,2,0,0,2,0,0,0,0,0,0
06_Hermeticism.jpeg,6_Religion,Occult,,,blocs,960,1920,53,61,1,,,,,,,,,0,,1,0,0,0,0,0,1,0,0,0
06_Inverse.jpeg,2_General,07_Specific,sectioned_grid,False,blocs,1644,3520,174,241,7,,,,,,,,,0,,5,0,0,2,1,0,0,0,2,0
06_Modern V2.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,2000,3000,87,204,13,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
06_More Modern Philosophy.jpeg,3_Philosophy,03_Guide,,,blocs,1858,1560,93,156,10,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
06_Romans 1.jpeg,1_Beginnings,,,,blocs,4800,3834,49,93,1,,,,,,,,,0,,3,0,0,0,0,0,0,0,2,1
06_Sci-Fi Crash Course.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,2700,3074,51,84,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
06_Science.jpeg,2_General,05_Themes,,,blocs,917,2580,53,108,8,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
07_.sci. cs.jpeg,9_Science,,,,blocs,1134,2268,67,125,5,,,,,,,,,0,,4,0,0,1,0,2,0,0,0,1
07_2019.jpeg,2_General,03_Top 100,,,blocs,2000,3700,261,377,26,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
07_Dune.jpeg,5_Speculative Fiction,1_Science Fiction,sectioned_grid,False,blocs,1144,2560,29,117,7,,,,,,,,,0,,10,0,0,0,0,0,0,0,8,2
07_Early Existentialism and a Continuation of Modern Philosophy.jpeg,3_Philosophy,03_Guide,,,blocs,1858,1612,96,170,10,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
07_Essential .lit.core.jpeg,2_General,04_.lit.core,,,blocs,1944,2808,72,103,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
07_Homosexuals.jpeg,2_General,07_Specific,,,grille,2900,3700,3,28,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
07_Intro to Esotericism.jpeg,6_Religion,Occult,,,grille,960,1512,2,12,2,,,,,,,,,0,,1,0,0,0,0,0,0,1,0,0
07_Neon Pill (Cyberpunk).jpeg,8_Pills,,,,blocs,1480,2584,65,83,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
07_Political Theory.jpeg,3_Philosophy,,,,blocs,1439,1623,63,147,5,,,,,,,,,0,,7,0,0,0,0,2,0,1,2,2
07_Romans 2.jpeg,1_Beginnings,,,,blocs,6100,3721,45,88,3,,,,,,,,,0,,3,0,0,0,0,0,0,0,2,1
08_.his..jpeg,10_Meme Charts,,,,blocs,874,1800,29,68,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_2020.jpeg,2_General,03_Top 100,,,blocs,3500,7700,269,465,26,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_Analytic Philosophy.jpeg,3_Philosophy,03_Guide,,,blocs,1858,1204,58,143,3,,,,,,,,,0,,2,0,0,0,0,1,0,0,0,1
08_Ancient Origins.jpeg,6_Religion,Occult,,,blocs,585,2048,38,69,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_Asatru.jpeg,6_Religion,General,,,blocs,2989,1598,37,55,5,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
08_Beginner Flowchart 1.jpeg,5_Speculative Fiction,2_Fantasy,,,blocs,1274,872,75,110,1,,,,,,,,,0,,1,0,0,1,0,0,0,0,0,0
08_Computer Science.jpeg,9_Science,,,,blocs,2250,4158,110,190,9,,,,,,,,,0,,3,0,0,0,2,1,0,0,0,0
08_Depressing.jpeg,2_General,05_Themes,,,grille,2000,2800,3,31,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_Favourites.jpeg,5_Speculative Fiction,1_Science Fiction,,,blocs,1600,2400,31,66,5,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_Golden Pill (Philosophy.Utopia.Sci-Fi.).jpeg,8_Pills,,,,blocs,1570,4096,58,125,2,,,,,,,,,0,,4,0,0,0,0,4,0,0,0,0
08_Patriciancore.jpeg,2_General,04_.lit.core,,,blocs,2500,4000,103,199,8,,,,,,,,,0,,1,0,1,0,0,0,0,0,0,0
08_Pedo.jpeg,2_General,07_Specific,,,blocs,4000,7700,71,137,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
08_Revolutionary.jpeg,7_Ideologies,Meme Ideologues,,,blocs,1200,838,15,32,1,,,,,,,,,0,,1,0,0,0,1,0,0,0,0,0
08_Right-Wing.jpeg,7_Ideologies,General,,,blocs,4000,3549,112,143,6,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
09_2020.jpeg,2_General,03_Top 100,,,grille,2381,6000,4,116,3,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
09_A Continuation of Analytic Philosophy and the Philosophy of the Mind.jpeg,3_Philosophy,03_Guide,,,blocs,1860,1204,76,149,7,,,,,,,,,0,,1,0,0,0,0,0,0,0,0,1
09_Autodidactism.jpeg,1_Beginnings,,,,blocs,720,2277,37,49,2,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
09_Bowden.jpeg,7_Ideologies,Ideologues,,,blocs,3672,3024,63,283,3,,,,,,,,,0,,2,0,0,1,0,0,0,0,0,1
