fichier,categorie,layout_type,tier,auteur,titre
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Wallace,Infinite Jest
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",,The Stranger
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Dostoevsky,The Brothers Karamazov
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",McCarthy,Blood Meridian
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Nabokov,Lolita
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Mellville,Moby Dick
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Pynchon,Gravity's Rainbow
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Cervantes,Don Quixote
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Kafka,The Trial
01_2014.jpeg,2_General,grid,"It was Friday, the 3rd of April, and a day that pollster Anonymous, of the Four Leaves district, would not easily forget...",Céline,Journey to the End
01_2014.jpeg,2_General,grid,Camus,Borges,Ficciones
01_2014.jpeg,2_General,grid,Camus,Joyce,Ulysses
01_2014.jpeg,2_General,grid,Camus,Dostoevsky,Crime and Punishment
01_2014.jpeg,2_General,grid,Camus,Heller,Catch-22
01_2014.jpeg,2_General,grid,Camus,Bolaño,2666
01_2014.jpeg,2_General,grid,Camus,Wilde,The Picture of
01_2014.jpeg,2_General,grid,Camus,Salinger,The Catcher in the Rye
01_2014.jpeg,2_General,grid,Camus,Faulkner,The Sound and
01_2014.jpeg,2_General,grid,Camus,Orwell,Nineteen Eighty-Four
01_2014.jpeg,2_General,grid,Camus,Fitzgerald,The Great Gatsby
01_2014.jpeg,2_General,grid,Mason & Dixon,Shakespeare,Hamlet
01_2014.jpeg,2_General,grid,Mason & Dixon,Calvino,Invisible Cities
01_2014.jpeg,2_General,grid,Mason & Dixon,García Márquez,One Hundred Years
01_2014.jpeg,2_General,grid,Mason & Dixon,Vonnegut,Slaughterhouse-Five
01_2014.jpeg,2_General,grid,Mason & Dixon,Pynchon,Mason & Dixon
01_2014.jpeg,2_General,grid,Mason & Dixon,Dostoevsky,Notes from Underground
01_2014.jpeg,2_General,grid,Mason & Dixon,Hesse,Siddhartha
01_2014.jpeg,2_General,grid,Mason & Dixon,Tolstoy,Anna Karenina
01_2014.jpeg,2_General,grid,Mason & Dixon,Herbert,Dune
01_2014.jpeg,2_General,grid,Mason & Dixon,Pynchon,V.
01_2014.jpeg,2_General,grid,of Solitude,Homer,The Odyssey
01_2014.jpeg,2_General,grid,of Solitude,"Alighieri, Dante",The Divine Comedy
01_2014.jpeg,2_General,grid,of Solitude,Woolf,The Waves
01_2014.jpeg,2_General,grid,of Solitude,Bulgakov,The Master and Margarita
01_2014.jpeg,2_General,grid,of Solitude,Camus,The Plague
01_2014.jpeg,2_General,grid,of Solitude,Tolstoy,War and Peace
01_2014.jpeg,2_General,grid,of Solitude,DeLillo,White Noise
01_2014.jpeg,2_General,grid,of Solitude,"Williams, J.",Stoner
01_2014.jpeg,2_General,grid,of Solitude,"Bronte, E.",Wuthering Heights
01_2014.jpeg,2_General,grid,of Solitude,Joyce,Dubliners
01_2014.jpeg,2_General,grid,of Solitude,Pessoa,The Book of Disquiet
01_2014.jpeg,2_General,grid,of Solitude,Tolkien,The Silmarillion
01_2014.jpeg,2_General,grid,of Solitude,Conrad,Heart of Darkness
01_2014.jpeg,2_General,grid,of Solitude,Tolkien,The Hobbit
01_2014.jpeg,2_General,grid,of Solitude,Proust,In Search of Lost Time
01_2014.jpeg,2_General,grid,of Solitude,Hemmmingway,A Farewell to Arms
01_2014.jpeg,2_General,grid,of Solitude,Pynchon,The Crying of Lot 49
01_2014.jpeg,2_General,grid,of Solitude,Faulkner,As I Lay Dying
01_2014.jpeg,2_General,grid,of Solitude,Kafka,The Metamorphosis
01_2014.jpeg,2_General,grid,of Solitude,Burroughs,The Naked Lunch
01_2014.jpeg,2_General,grid,of Solitude,Ellis,American Psycho
01_2014.jpeg,2_General,grid,of Solitude,Hemmmingway,The Sun Also Rises
01_2014.jpeg,2_General,grid,of Solitude,Whitman,Leaves of Grass
01_2014.jpeg,2_General,grid,of Solitude,Rowling,Harry Potter series
01_2014.jpeg,2_General,grid,of Solitude,Burgess,A Clockwork Orange
01_2014.jpeg,2_General,grid,of Solitude,Steinbeck,The Grapes of Wrath
01_2014.jpeg,2_General,grid,of Solitude,Kerouac,On the Road
01_2014.jpeg,2_General,grid,of Solitude,Mishima,The Temple of the
01_2014.jpeg,2_General,grid,of Solitude,Thompson,Fear and Loathing in
01_2014.jpeg,2_General,grid,of Solitude,Dick,Do Androids Dream
01_2014.jpeg,2_General,grid,Golden Pavilion,Dick,Ubil
01_2014.jpeg,2_General,grid,Golden Pavilion,Lem,Solaris
01_2014.jpeg,2_General,grid,Golden Pavilion,Bolaño,The Savage Detectives
01_2014.jpeg,2_General,grid,Golden Pavilion,,The Bible
01_2014.jpeg,2_General,grid,Golden Pavilion,Goethe,Faust
01_2014.jpeg,2_General,grid,Golden Pavilion,Golding,Lord of the Flies
01_2014.jpeg,2_General,grid,Golden Pavilion,Joyce,A Portrait of the Artist as
01_2014.jpeg,2_General,grid,Golden Pavilion,Twain,Adventures of
01_2014.jpeg,2_General,grid,Golden Pavilion,Wallace,The Pale King
01_2014.jpeg,2_General,grid,Golden Pavilion,Faulkner,Light in August
01_2014.jpeg,2_General,grid,Golden Pavilion,Gogol,Dead Souls
01_2014.jpeg,2_General,grid,Golden Pavilion,Hamenr,Hunger
01_2014.jpeg,2_General,grid,Golden Pavilion,Carroll,Alice's Adventures in
01_2014.jpeg,2_General,grid,Golden Pavilion,McCarthy,Suttree
01_2014.jpeg,2_General,grid,Golden Pavilion,Woolf,To the Lighthouse
01_2014.jpeg,2_General,grid,Golden Pavilion,Beckett,Malone Dies
01_2014.jpeg,2_General,grid,Golden Pavilion,Bradbury,Dandelion Wine
01_2014.jpeg,2_General,grid,Golden Pavilion,Dick,VALIS
01_2014.jpeg,2_General,grid,Golden Pavilion,Faulkner,"Absalom, Absalom!"
01_2014.jpeg,2_General,grid,Golden Pavilion,Banks,The Wasp Factory
01_2014.jpeg,2_General,grid,novel,Nabokov,Pale Fire
01_2014.jpeg,2_General,grid,novel,Nietzsche,Thus Spoke Zarathustra
